Y	36643429.554616	52003377.989136	57.619527	40.270000	 16:54:53.00
Y	36643380.281566	52003305.613905	59.541329	48.070000	 16:54:54.00
Y	36643338.877314	52003227.848463	58.988955	53.580000	 16:54:55.00
Y	36643306.511931	52003148.134756	57.124692	59.160000	 16:54:56.00
Y	36643285.953538	52003068.092551	54.857656	69.230000	 16:54:57.00
Y	36643283.639659	52002989.535716	52.233879	84.830000	 16:54:58.00
Y	36643300.638196	52002916.420679	49.955336	98.990000	 16:54:59.00
Y	36643326.433303	52002848.797692	47.975995	99.070000	 16:55:00.00
Y	36643341.015632	52002781.621504	45.605390	83.500000	 16:55:01.00
Y	36643335.448406	52002716.326141	43.948267	64.200000	 16:55:02.00
Y	36643314.181132	52002655.400424	44.305009	54.610000	 16:55:03.00
Y	36643293.814984	52002593.049113	44.696274	66.860000	 16:55:04.00
Y	36643289.845391	52002525.931760	47.055372	82.160000	 16:55:05.00
Y	36643304.241495	52002456.579128	49.713672	97.850000	 16:55:06.00
Y	36643337.681175	52002387.800321	53.844970	110.750000	 16:55:07.00
Y	36643389.551048	52002322.682810	58.471104	122.190000	 16:55:08.00
Y	36643456.469578	52002262.694337	63.500010	130.800000	 16:55:09.00
Y	36643536.857674	52002206.451293	68.966212	136.170000	 16:55:10.00
Y	36643626.451435	52002153.641461	71.474912	139.430000	 16:55:11.00
Y	36643720.661433	52002108.702211	69.035259	146.700000	 16:55:12.00
Y	36643816.848618	52002081.807579	66.641638	158.870000	 16:55:13.00
Y	36643913.805140	52002075.927229	65.214671	171.260000	 16:55:14.00
Y	36644008.967283	52002088.412364	64.524204	180.660000	 16:55:15.00
Y	36644101.081428	52002113.130006	64.524204	186.800000	 16:55:16.00
Y	36644192.358891	52002145.170346	65.214671	188.590000	 16:55:17.00
Y	36644282.837348	52002178.121880	65.249195	188.710000	 16:55:18.00
Y	36644372.721256	52002210.955387	63.741674	188.730000	 16:55:19.00
Y	36644457.356622	52002242.211409	58.298487	188.720000	 16:55:20.00
Y	36644532.191690	52002269.915861	49.851766	188.750000	 16:55:21.00
Y	36644597.412070	52002296.245298	45.386742	192.980000	 16:55:22.00
Y	36644653.760169	52002329.906031	42.866535	205.560000	 16:55:23.00
Y	36644698.142231	52002374.027997	42.590347	220.550000	 16:55:24.00
Y	36644730.558213	52002428.611215	43.016136	235.210000	 16:55:25.00
Y	36644747.562013	52002489.226587	42.107020	250.250000	 16:55:26.00
Y	36644755.136629	52002550.643493	40.657038	252.840000	 16:55:27.00
Y	36644766.993946	52002609.166765	39.989586	241.420000	 16:55:28.00
Y	36644792.173005	52002662.847624	40.645530	225.290000	 16:55:29.00
Y	36644833.377544	52002707.408849	41.991942	207.720000	 16:55:30.00
Y	36644887.366055	52002737.392057	42.325668	187.650000	 16:55:31.00
Y	36644948.231117	52002745.204371	42.670902	165.540000	 16:55:32.00
Y	36645009.330715	52002730.061067	43.683588	144.270000	 16:55:33.00
Y	36645063.019315	52002693.117835	46.284349	125.520000	 16:55:34.00
Y	36645109.073483	52002638.609740	50.737866	113.180000	 16:55:35.00
Y	36645149.647890	52002571.244324	55.582647	106.760000	 16:55:36.00
Y	36645187.203925	52002494.185263	60.611554	103.450000	 16:55:37.00
Y	36645224.797526	52002410.714327	62.970652	102.740000	 16:55:38.00
Y	36645262.390924	52002327.243244	61.106389	103.170000	 16:55:39.00
Y	36645298.878441	52002246.227052	58.804830	103.190000	 16:55:40.00
Y	36645329.893936	52002167.868315	55.674710	97.550000	 16:55:41.00
Y	36645346.621723	52002089.880954	53.142995	85.300000	 16:55:42.00
Y	36645344.593421	52002012.982266	52.176340	70.050000	 16:55:43.00
Y	36645321.412098	52001939.905843	52.245387	53.090000	 16:55:44.00
Y	36645280.542731	52001871.874989	55.191382	43.530000	 16:55:45.00
Y	36645232.232207	52001803.971030	57.354848	43.570000	 16:55:46.00
Y	36645189.700017	52001731.865737	56.698904	53.040000	 16:55:47.00
Y	36645162.681855	52001653.213487	57.055645	67.030000	 16:55:48.00
Y	36645156.732890	52001568.047792	58.862369	81.880000	 16:55:49.00
Y	36645171.527632	52001481.118247	61.808364	94.840000	 16:55:50.00
Y	36645207.353947	52001394.086665	65.847600	106.690000	 16:55:51.00
Y	36645260.811549	52001311.626802	67.919003	115.940000	 16:55:52.00
Y	36645326.530928	52001235.881612	67.999558	123.130000	 16:55:53.00
Y	36645401.725148	52001168.437204	68.943197	130.370000	 16:55:54.00
Y	36645487.378898	52001110.558971	70.600319	139.090000	 16:55:55.00
Y	36645582.693271	52001063.158075	73.603854	145.060000	 16:55:56.00
Y	36645686.664933	52001028.174978	75.237960	154.510000	 16:55:57.00
Y	36645796.469473	52001013.607730	75.652241	167.370000	 16:55:58.00
Y	36645907.703291	52001026.071005	76.342709	181.990000	 16:55:59.00
Y	36646013.557348	52001059.398252	74.340352	190.100000	 16:56:00.00
Y	36646117.208671	52001113.150790	78.644268	198.870000	 16:56:01.00
Y	36646222.243114	52001184.831361	84.398165	203.520000	 16:56:02.00
Y	36646332.181827	52001266.045449	90.577851	203.690000	 16:56:03.00
Y	36646446.774404	52001348.719236	95.169461	203.470000	 16:56:04.00
Y	36646566.513148	52001433.485481	98.598783	203.240000	 16:56:05.00
Y	36646685.861610	52001517.104771	95.250015	203.010000	 16:56:06.00
Y	36646796.412929	52001595.232542	86.296951	203.670000	 16:56:07.00
Y	36646893.819778	52001664.865408	76.722466	205.110000	 16:56:08.00
Y	36646976.790917	52001726.281736	67.044411	206.110000	 16:56:09.00
