Y	36644817.635936	52004077.462013	53.879494	194.460000	 17:00:18.00
Y	36644892.840562	52004109.523658	56.146529	188.990000	 17:00:19.00
Y	36644970.218735	52004143.087162	58.056823	195.670000	 17:00:20.00
Y	36645050.243680	52004181.991178	62.245660	193.810000	 17:00:21.00
Y	36645138.489630	52004223.063826	69.012244	193.330000	 17:00:22.00
Y	36645234.157538	52004267.216245	73.270128	193.500000	 17:00:23.00
Y	36645333.290269	52004312.592250	73.868533	193.450000	 17:00:24.00
Y	36645435.191034	52004359.588346	77.838722	193.440000	 17:00:25.00
Y	36645540.761137	52004406.778792	78.874424	192.110000	 17:00:26.00
Y	36645649.750965	52004446.089676	77.930784	185.430000	 17:00:27.00
Y	36645762.300930	52004470.594393	78.172448	176.930000	 17:00:28.00
Y	36645877.241082	52004476.850561	78.862916	166.890000	 17:00:29.00
Y	36645994.673694	52004464.343363	81.003365	158.910000	 17:00:30.00
Y	36646111.402556	52004436.717191	81.371615	152.460000	 17:00:31.00
Y	36646219.641688	52004402.054117	72.901878	149.430000	 17:00:32.00
Y	36646313.222273	52004363.408078	64.374602	142.910000	 17:00:33.00
Y	36646390.891080	52004314.645515	60.519491	130.640000	 17:00:34.00
Y	36646455.454232	52004250.974416	62.544863	118.560000	 17:00:35.00
Y	36646509.781997	52004173.500113	65.778553	110.140000	 17:00:36.00
Y	36646550.185862	52004085.234529	66.020217	97.660000	 17:00:37.00
Y	36646569.307935	52003988.995540	67.424168	83.520000	 17:00:38.00
Y	36646564.054271	52003887.913356	70.070961	69.110000	 17:00:39.00
Y	36646532.705520	52003787.531167	72.763785	54.250000	 17:00:40.00
Y	36646474.629193	52003694.143029	75.882397	40.800000	 17:00:41.00
Y	36646393.559042	52003613.840464	78.989501	26.940000	 17:00:42.00
Y	36646292.365537	52003547.728705	83.535080	17.590000	 17:00:43.00
Y	36646176.910733	52003494.297536	88.149706	10.420000	 17:00:44.00
Y	36646049.675041	52003453.504677	92.281004	3.110000	 17:00:45.00
Y	36645919.205314	52003422.768439	87.505269	1.040000	 17:00:46.00
Y	36645803.291955	52003396.529137	73.028464	2.330000	 17:00:47.00
Y	36645706.524587	52003370.349127	62.372246	5.970000	 17:00:48.00
Y	36645624.881688	52003336.475127	57.285801	16.560000	 17:00:49.00
Y	36645557.212084	52003288.259130	55.582647	33.000000	 17:00:50.00
Y	36645508.987625	52003223.043727	55.168367	51.740000	 17:00:51.00
Y	36645485.642247	52003144.583251	57.239770	71.950000	 17:00:52.00
Y	36645488.633778	52003057.981744	61.451623	88.460000	 17:00:53.00
Y	36645513.474830	52002967.162030	66.238865	99.570000	 17:00:54.00
Y	36645553.606671	52002874.030600	71.256264	104.360000	 17:00:55.00
Y	36645600.520334	52002774.757133	76.584372	103.550000	 17:00:56.00
Y	36645647.963786	52002669.704369	79.645446	102.930000	 17:00:57.00
Y	36645694.115628	52002564.929792	75.755811	102.250000	 17:00:58.00
Y	36645735.658777	52002467.798623	67.251551	101.270000	 17:00:59.00
Y	36645775.444839	52002382.621982	60.174257	106.270000	 17:01:00.00
Y	36645825.160007	52002312.791210	57.412387	122.250000	 17:01:01.00
Y	36645893.108922	52002263.165611	58.171901	141.950000	 17:01:02.00
Y	36645976.690250	52002237.507971	62.107567	160.680000	 17:01:03.00
Y	36646072.151266	52002232.933113	67.124965	170.130000	 17:01:04.00
Y	36646174.466770	52002243.628390	72.084825	178.660000	 17:01:05.00
Y	36646281.853164	52002269.239616	77.217301	185.110000	 17:01:06.00
Y	36646394.041440	52002304.898920	81.291060	186.900000	 17:01:07.00
Y	36646506.127462	52002341.072954	78.287526	186.190000	 17:01:08.00
Y	36646616.077539	52002369.333407	75.548671	179.610000	 17:01:09.00
Y	36646726.038567	52002378.872567	74.271306	167.790000	 17:01:10.00
Y	36646833.958006	52002364.467910	74.305829	154.170000	 17:01:11.00
Y	36646935.386285	52002323.630498	74.915742	140.250000	 17:01:12.00
Y	36647025.037068	52002261.194692	74.167736	127.770000	 17:01:13.00
Y	36647096.889550	52002188.803601	64.719836	118.530000	 17:01:14.00
Y	36647145.740837	52002113.983254	57.527465	105.490000	 17:01:15.00
Y	36647170.114001	52002034.835575	56.100498	86.210000	 17:01:16.00
Y	36647166.729681	52001952.314248	57.193739	68.220000	 17:01:17.00
Y	36647136.349202	52001871.920288	60.496476	49.290000	 17:01:18.00
Y	36647079.733938	52001799.154650	64.765867	34.040000	 17:01:19.00
Y	36647004.222762	52001734.405145	69.541602	25.750000	 17:01:20.00
Y	36646917.089916	52001672.162163	74.478446	23.560000	 17:01:21.00
Y	36646822.228061	52001608.384286	79.553383	22.390000	 17:01:22.00
Y	36646720.640601	52001541.131029	84.616813	22.570000	 17:01:23.00
Y	36646613.433142	52001467.947287	89.668735	23.920000	 17:01:24.00
Y	36646501.794714	52001389.069298	94.663118	24.170000	 17:01:25.00
Y	36646384.229566	52001305.804900	99.542422	24.280000	 17:01:26.00
Y	36646262.809154	52001220.170414	101.061451	24.160000	 17:01:27.00
Y	36646143.850142	52001137.699976	94.306376	23.070000	 17:01:28.00
Y	36646025.308302	52001068.686323	90.704436	15.390000	 17:01:29.00
Y	36645901.265644	52001024.257488	88.310815	1.810000	 17:01:30.00
Y	36645771.666051	52001014.030877	88.840174	345.740000	 17:01:31.00
Y	36645640.281173	52001037.685328	92.315527	332.470000	 17:01:32.00
Y	36645512.684898	52001092.048092	95.675803	319.520000	 17:01:33.00
Y	36645395.844538	52001173.153457	96.953169	309.280000	 17:01:34.00
Y	36645297.889266	52001264.963282	84.835461	301.790000	 17:01:35.00
Y	36645221.188751	52001352.435430	71.923716	298.260000	 17:01:36.00
Y	36645164.247309	52001436.877825	66.008709	287.130000	 17:01:37.00
Y	36645135.044154	52001527.899486	64.282540	266.280000	 17:01:38.00
Y	36645140.630172	52001624.226526	66.975364	246.080000	 17:01:39.00
Y	36645179.668227	52001717.034729	70.197546	226.810000	 17:01:40.00
Y	36645239.877681	52001802.815036	71.187217	220.760000	 17:01:41.00
Y	36645294.698521	52001893.944483	72.648707	234.360000	 17:01:42.00
Y	36645323.246868	52001999.113121	75.709780	251.600000	 17:01:43.00
Y	36645319.800601	52002112.904679	79.564891	268.870000	 17:01:44.00
Y	36645287.165516	52002230.526899	84.927523	279.110000	 17:01:45.00
Y	36645239.833571	52002350.578852	89.519133	281.440000	 17:01:46.00
Y	36645190.244205	52002466.437634	80.991858	282.950000	 17:01:47.00
Y	36645144.111560	52002568.004739	69.725727	283.390000	 17:01:48.00
Y	36645102.745945	52002651.795963	56.952075	287.450000	 17:01:49.00
Y	36645059.217646	52002715.364801	47.757347	299.390000	 17:01:50.00
Y	36645006.986986	52002757.412060	43.902236	321.000000	 17:01:51.00
Y	36644946.871952	52002773.820788	42.371699	345.390000	 17:01:52.00
Y	36644884.427795	52002764.624845	44.523657	8.330000	 17:01:53.00
Y	36644827.690049	52002729.815953	47.366082	30.850000	 17:01:54.00
Y	36644785.372062	52002672.195145	50.703343	52.640000	 17:01:55.00
Y	36644761.904337	52002597.457042	55.352492	69.240000	 17:01:56.00
Y	36644743.556007	52002512.502587	61.704794	63.510000	 17:01:57.00
Y	36644705.569199	52002426.856535	66.100772	47.250000	 17:01:58.00
Y	36644641.124192	52002353.072333	67.504723	28.260000	 17:01:59.00
Y	36644553.648287	52002298.784872	72.637199	13.500000	 17:02:00.00
Y	36644449.737953	52002255.675800	79.392274	9.240000	 17:02:01.00
Y	36644337.587567	52002213.604566	82.487871	9.380000	 17:02:02.00
Y	36644220.290854	52002169.441293	86.596154	9.460000	 17:02:03.00
Y	36644098.237877	52002124.333325	89.035806	8.510000	 17:02:04.00
Y	36643973.731391	52002091.576100	85.813624	358.370000	 17:02:05.00
Y	36643850.532248	52002089.568747	82.591441	341.090000	 17:02:06.00
Y	36643730.711877	52002120.327199	85.502913	328.540000	 17:02:07.00
Y	36643612.255309	52002172.217768	89.749289	322.090000	 17:02:08.00
Y	36643500.384144	52002234.509599	83.166831	316.940000	 17:02:09.00
Y	36643406.738747	52002301.491531	73.062987	309.400000	 17:02:10.00
Y	36643335.461903	52002377.196168	68.620979	294.980000	 17:02:11.00
Y	36643290.798594	52002465.141551	66.411482	277.300000	 17:02:12.00
Y	36643277.050407	52002559.228681	63.845244	256.790000	 17:02:13.00
Y	36643296.958782	52002648.769365	61.750825	236.730000	 17:02:14.00
Y	36643324.921367	52002735.096202	60.749647	245.070000	 17:02:15.00
Y	36643329.454965	52002824.257203	61.670271	266.870000	 17:02:16.00
Y	36643304.122021	52002914.438288	66.215850	281.370000	 17:02:17.00
Y	36643275.778368	52003010.440096	69.438032	270.050000	 17:02:18.00
Y	36643271.790997	52003114.490568	72.936402	253.250000	 17:02:19.00
Y	36643298.040722	52003221.874346	77.125239	237.950000	 17:02:20.00
Y	36643349.400252	52003327.293619	81.889466	228.210000	 17:02:21.00
Y	36643420.416656	52003430.199994	86.584646	220.920000	 17:02:22.00
Y	36643507.030551	52003529.252062	91.314349	214.830000	 17:02:23.00
Y	36643608.647453	52003624.331739	96.239685	209.570000	 17:02:24.00
Y	36643722.787059	52003715.481127	101.222560	205.700000	 17:02:25.00
Y	36643847.749092	52003805.036998	106.170912	203.100000	 17:02:26.00
Y	36643982.344526	52003892.763097	110.279195	201.110000	 17:02:27.00
Y	36644122.411727	52003977.832483	111.418466	198.810000	 17:02:28.00
Y	36644268.954268	52004058.304820	114.341446	196.570000	 17:02:29.00
Y	36644422.362189	52004135.327425	117.275934	194.810000	 17:02:30.00
Y	36644581.836476	52004209.811357	120.014789	192.820000	 17:02:31.00
Y	36644747.888451	52004279.183486	122.776660	190.590000	 17:02:32.00
Y	36644920.518149	52004343.443738	125.504007	188.410000	 17:02:33.00
Y	36645098.536560	52004402.355756	128.024214	186.210000	 17:02:34.00
Y	36645282.742761	52004455.008335	130.544421	183.420000	 17:02:35.00
Y	36645469.096465	52004496.853838	127.287715	179.860000	 17:02:36.00
Y	36645643.923732	52004525.174889	112.477183	176.220000	 17:02:37.00
Y	36645805.460090	52004536.410961	106.309006	169.400000	 17:02:38.00
Y	36645959.893419	52004524.302059	103.984431	159.590000	 17:02:39.00
Y	36646105.356922	52004485.802191	99.922180	149.130000	 17:02:40.00
Y	36646233.591354	52004425.154573	92.407590	137.870000	 17:02:41.00
Y	36646339.291008	52004350.399293	82.695011	129.250000	 17:02:42.00
Y	36646425.166754	52004272.774419	73.500283	124.310000	 17:02:43.00
Y	36646495.380225	52004193.107031	70.116992	116.660000	 17:02:44.00
Y	36646546.606834	52004103.247167	70.577304	101.350000	 17:02:45.00
Y	36646571.916736	52004000.748148	73.373698	84.860000	 17:02:46.00
Y	36646567.212393	52003890.680697	76.043506	68.790000	 17:02:47.00
Y	36646530.346421	52003783.852669	77.539519	51.790000	 17:02:48.00
