Y	36645264.216484	52004283.888150	52.602129	193.350000	 16:16:04.00
Y	36645336.633828	52004317.536235	54.869164	193.870000	 16:16:05.00
Y	36645411.122446	52004353.200838	56.583826	194.080000	 16:16:06.00
Y	36645486.902338	52004388.587174	56.929059	193.290000	 16:16:07.00
Y	36645563.583510	52004422.547840	56.664380	191.880000	 16:16:08.00
Y	36645641.984073	52004450.965760	55.893358	185.290000	 16:16:09.00
Y	36645722.327630	52004469.605683	56.399701	178.330000	 16:16:10.00
Y	36645805.700973	52004479.218452	57.021122	172.650000	 16:16:11.00
Y	36645889.623763	52004479.846086	56.583826	165.790000	 16:16:12.00
Y	36645972.210173	52004471.648748	55.881850	160.500000	 16:16:13.00
Y	36646053.051141	52004456.684943	55.778280	156.260000	 16:16:14.00
Y	36646131.942133	52004435.983916	55.686218	151.700000	 16:16:15.00
Y	36646209.189924	52004408.001716	55.076304	146.480000	 16:16:16.00
Y	36646281.719627	52004372.662280	54.742578	139.210000	 16:16:17.00
Y	36646348.258957	52004327.037972	55.122336	130.410000	 16:16:18.00
Y	36646408.008829	52004272.039938	55.732249	122.400000	 16:16:19.00
Y	36646460.272414	52004208.064699	56.526287	114.330000	 16:16:20.00
Y	36646504.148364	52004136.538086	57.159215	106.560000	 16:16:21.00
Y	36646536.849507	52004059.046214	57.101676	98.090000	 16:16:22.00
Y	36646556.675477	52003977.926139	56.733427	87.540000	 16:16:23.00
Y	36646558.358783	52003894.806182	56.376685	73.220000	 16:16:24.00
Y	36646538.601034	52003813.845793	56.675888	58.040000	 16:16:25.00
Y	36646499.863604	52003738.208937	58.194917	46.340000	 16:16:26.00
Y	36646445.611425	52003669.119061	60.381398	35.480000	 16:16:27.00
Y	36646376.522336	52003609.385654	63.177792	24.830000	 16:16:28.00
Y	36646294.379962	52003559.363053	66.146803	15.690000	 16:16:29.00
Y	36646201.952473	52003520.671092	69.058275	8.400000	 16:16:30.00
Y	36646101.943724	52003489.032277	72.291965	4.200000	 16:16:31.00
Y	36645996.853048	52003461.198436	73.926072	3.370000	 16:16:32.00
Y	36645891.270087	52003432.731879	73.051479	4.400000	 16:16:33.00
Y	36645792.431381	52003404.535415	65.790061	5.250000	 16:16:34.00
Y	36645707.963504	52003378.659239	53.396166	6.280000	 16:16:35.00
Y	36645637.885412	52003351.897427	48.229167	13.910000	 16:16:36.00
Y	36645577.990041	52003314.320044	47.999011	27.900000	 16:16:37.00
Y	36645528.398546	52003262.206598	49.218837	42.580000	 16:16:38.00
Y	36645494.953866	52003197.252939	50.749374	60.090000	 16:16:39.00
Y	36645481.408633	52003122.344386	53.407674	76.160000	 16:16:40.00
Y	36645487.641609	52003041.201380	56.687396	90.130000	 16:16:41.00
Y	36645513.122626	52002959.602851	60.220289	101.300000	 16:16:42.00
Y	36645551.804180	52002876.882167	63.500010	105.940000	 16:16:43.00
Y	36645593.681549	52002790.516714	67.251551	103.570000	 16:16:44.00
Y	36645635.986545	52002698.886646	69.978898	103.120000	 16:16:45.00
Y	36645677.408949	52002605.476279	68.793596	102.450000	 16:16:46.00
Y	36645715.430647	52002516.739653	61.773841	101.550000	 16:16:47.00
Y	36645748.128117	52002439.248955	51.877138	102.060000	 16:16:48.00
Y	36645782.143475	52002373.788735	48.885111	110.900000	 16:16:49.00
Y	36645827.110336	52002318.528079	48.286706	123.840000	 16:16:50.00
Y	36645883.911113	52002275.247063	48.747018	138.320000	 16:16:51.00
Y	36645951.133485	52002247.944674	50.484694	153.810000	 16:16:52.00
Y	36646027.486205	52002236.899384	53.752908	165.650000	 16:16:53.00
Y	36646109.708808	52002239.858743	57.354848	174.600000	 16:16:54.00
Y	36646196.324399	52002254.924606	61.290514	181.440000	 16:16:55.00
Y	36646287.249588	52002279.405739	65.582921	186.060000	 16:16:56.00
Y	36646382.400985	52002310.610891	69.219384	186.900000	 16:16:57.00
Y	36646480.032710	52002341.773863	69.127322	186.030000	 16:16:58.00
Y	36646575.899696	52002369.376616	64.892453	182.820000	 16:16:59.00
Y	36646667.457104	52002387.564035	61.532177	176.820000	 16:17:00.00
Y	36646756.321799	52002391.307655	59.610376	165.580000	 16:17:01.00
Y	36646841.425825	52002376.650522	58.379041	152.020000	 16:17:02.00
Y	36646919.796510	52002343.002035	58.010792	138.830000	 16:17:03.00
Y	36646990.021421	52002294.361250	57.884206	129.720000	 16:17:04.00
Y	36647052.657318	52002237.258286	57.354848	123.300000	 16:17:05.00
Y	36647105.985108	52002177.236271	52.176340	117.020000	 16:17:06.00
Y	36647146.911057	52002117.425471	46.353396	109.770000	 16:17:07.00
Y	36647171.477910	52002055.969999	45.099047	91.520000	 16:17:08.00
Y	36647174.149259	52001989.630406	46.008162	72.320000	 16:17:09.00
Y	36647156.383171	52001923.511082	47.688300	57.070000	 16:17:10.00
Y	36647120.641181	52001860.775848	50.093429	42.160000	 16:17:11.00
Y	36647068.298008	52001803.837647	53.994572	31.350000	 16:17:12.00
Y	36647004.026513	52001750.949849	58.482612	26.120000	 16:17:13.00
Y	36646931.124842	52001697.952934	63.051206	24.180000	 16:17:14.00
Y	36646851.293164	52001642.509835	67.493215	23.330000	 16:17:15.00
Y	36646765.822752	52001584.342107	72.015778	23.360000	 16:17:16.00
Y	36646675.020254	52001521.905836	76.411755	23.590000	 16:17:17.00
Y	36646579.377960	52001455.833799	79.702985	23.730000	 16:17:18.00
Y	36646481.664077	52001387.745753	81.187490	24.100000	 16:17:19.00
Y	36646381.980809	52001317.127076	83.569604	24.400000	 16:17:20.00
Y	36646281.414990	52001244.728602	83.408495	24.700000	 16:17:21.00
